,,,Unnamed: 1,test_accuracy,transfer_accuracy
DataSet 3 (5727 records),random_forrest,23,random_forrest,66.72,30.67
DataSet 3 (5727 records),sgd,27,sgd,66.72,30.13
DataSet 3 (5727 records),simple_neural_network_results,28,simple_neural_network_results,64.05,36.8
DataSet 3 (5727 records),voting,31,voting,,34.67
DataSet 3 (5727 records),weighted_voting,32,weighted_voting,,34.93
DataSet 4 (2904 records),bagging,36,bagging,42.72,40.53
DataSet 4 (2904 records),cnn_results,41,cnn_results,53.25,42.67
DataSet 4 (2904 records),logistic_regression,35,logistic_regression,43.03,38.67
DataSet 4 (2904 records),lstm_results,40,lstm_results,53.25,42.67
DataSet 4 (2904 records),maxent,37,maxent,53.25,41.07
DataSet 4 (2904 records),naive_bayes,33,naive_bayes,32.51,37.87
DataSet 4 (2904 records),random_forrest,34,random_forrest,47.68,42.93
DataSet 4 (2904 records),sgd,38,sgd,38.39,35.47
DataSet 4 (2904 records),simple_neural_network_results,39,simple_neural_network_results,39.01,36.8
DataSet 4 (2904 records),voting,42,voting,,42.67
DataSet 4 (2904 records),weighted_voting,43,weighted_voting,,42.67
DataSet 5 (24730 records),bagging,47,bagging,61.72,47.47
DataSet 5 (24730 records),cnn_results,52,cnn_results,71.83,56.53
DataSet 5 (24730 records),logistic_regression,46,logistic_regression,67.21,48.8
DataSet 5 (24730 records),lstm_results,51,lstm_results,70.82,56.27
DataSet 5 (24730 records),maxent,48,maxent,61.72,46.67
DataSet 5 (24730 records),naive_bayes,44,naive_bayes,60.01,43.73
DataSet 5 (24730 records),random_forrest,45,random_forrest,58.44,47.47
DataSet 5 (24730 records),sgd,49,sgd,67.36,51.73
DataSet 5 (24730 records),simple_neural_network_results,50,simple_neural_network_results,63.21,32.8
DataSet 5 (24730 records),voting,53,voting,,56.53
DataSet 5 (24730 records),weighted_voting,54,weighted_voting,,56.27
DataSet 6 (128781 records),bagging,58,bagging,92.56,47.73
DataSet 6 (128781 records),cnn_results,63,cnn_results,74.99,49.87
DataSet 6 (128781 records),logistic_regression,57,logistic_regression,88.6,50.13
DataSet 6 (128781 records),lstm_results,62,lstm_results,70.22,55.73
DataSet 6 (128781 records),maxent,59,maxent,82.49,47.2
DataSet 6 (128781 records),naive_bayes,55,naive_bayes,84.91,41.6
DataSet 6 (128781 records),random_forrest,56,random_forrest,94.95,42.4
DataSet 6 (128781 records),sgd,60,sgd,82.99,49.87
DataSet 6 (128781 records),simple_neural_network_results,61,simple_neural_network_results,84.95,35.73
DataSet 6 (128781 records),voting,64,voting,,53.87
DataSet 6 (128781 records),weighted_voting,65,weighted_voting,,55.47
DataSet 7 (24990 records),bagging,69,bagging,64.28,47.73
DataSet 7 (24990 records),cnn_results,74,cnn_results,72.74,53.6
DataSet 7 (24990 records),logistic_regression,68,logistic_regression,68.17,48.27
DataSet 7 (24990 records),lstm_results,73,lstm_results,69.68,56.0
DataSet 7 (24990 records),maxent,70,maxent,62.62,47.73
DataSet 7 (24990 records),naive_bayes,66,naive_bayes,60.86,46.93
DataSet 7 (24990 records),random_forrest,67,random_forrest,58.37,44.8
DataSet 7 (24990 records),sgd,71,sgd,68.13,50.4
DataSet 7 (24990 records),simple_neural_network_results,72,simple_neural_network_results,64.06,36.8
DataSet 7 (24990 records),voting,75,voting,,53.87
DataSet 7 (24990 records),weighted_voting,76,weighted_voting,,54.13
DataSet 8 (24736 records),bagging,80,bagging,63.11,48.0
DataSet 8 (24736 records),cnn_results,85,cnn_results,72.9,57.07
DataSet 8 (24736 records),logistic_regression,79,logistic_regression,67.01,48.27
DataSet 8 (24736 records),lstm_results,84,lstm_results,70.46,57.07
DataSet 8 (24736 records),maxent,81,maxent,61.0,46.93
DataSet 8 (24736 records),naive_bayes,77,naive_bayes,60.42,45.33
DataSet 8 (24736 records),random_forrest,78,random_forrest,59.33,50.4
DataSet 8 (24736 records),sgd,82,sgd,67.19,52.27
DataSet 8 (24736 records),simple_neural_network_results,83,simple_neural_network_results,63.73,33.07
DataSet 8 (24736 records),voting,86,voting,,57.6
DataSet 8 (24736 records),weighted_voting,87,weighted_voting,,57.07
DataSet 9 (25590 records),bagging,91,bagging,97.57,47.2
DataSet 9 (25590 records),cnn_results,96,cnn_results,93.78,43.73
DataSet 9 (25590 records),logistic_regression,90,logistic_regression,96.31,46.93
DataSet 9 (25590 records),lstm_results,95,lstm_results,93.21,44.0
DataSet 9 (25590 records),maxent,92,maxent,57.74,36.27
DataSet 9 (25590 records),naive_bayes,88,naive_bayes,81.4,39.73
DataSet 9 (25590 records),random_forrest,89,random_forrest,95.5,47.47
DataSet 9 (25590 records),sgd,93,sgd,96.8,46.93
DataSet 9 (25590 records),simple_neural_network_results,94,simple_neural_network_results,92.72,47.2
DataSet 9 (25590 records),voting,97,voting,,47.2
DataSet 9 (25590 records),weighted_voting,98,weighted_voting,,46.93
